,Suburb,Rooms,Type,Method,SellerG,Date,Distance,Bedroom2,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname
11917,Oakleigh,3,h,S,Buxton,8/10/2016,14,3,1,2,689,,Monash City Council,-37.8961,145.1046,Southern Metropolitan
11225,Fawkner,3,h,S,YPA,3/12/2016,12.4,3,1,3,587,,Hume City Council,-37.7007,144.9632,Northern Metropolitan
7830,Port Melbourne,2,h,S,hockingstuart,10/12/2016,3.8,2,1,0,106,1910,Melbourne City Council,-37.8346,144.9373,Southern Metropolitan
22337,Chelsea,3,h,S,Buxton,23/9/2017,27,3,3,2,,1950,Kingston City Council,-38.05934,145.11848,South-Eastern Metropolitan
25374,South Yarra,3,h,S,Jellis,21/10/2017,2.7,3,2,2,153,1996,Melbourne City Council,-37.83998,144.98877,Southern Metropolitan
11122,Campbellfield,3,h,S,hockingstuart,3/12/2016,14.5,,,,,,Hume City Council,,,Northern Metropolitan
32254,Windsor,2,t,VB,RT,3/3/2018,4.6,,,,,,Port Phillip City Council,,,Southern Metropolitan
5679,Keilor East,3,t,VB,Nelson,6/8/2016,12.8,,,,,,Brimbank City Council,,,Western Metropolitan
20566,Glen Waverley,4,h,S,Harcourts,9/9/2017,16.7,4,2,2,734,,Monash City Council,-37.87432,145.18766,Eastern Metropolitan
24449,Hallam,3,h,S,O'Brien,14/10/2017,32.3,3,1,2,,,Casey City Council,-38.00094,145.25699,South-Eastern Metropolitan
17572,Greensborough,3,h,S,hockingstuart,8/7/2017,16.1,3,2,2,743,1980,Banyule City Council,-37.71733,145.09622,Northern Metropolitan
32320,Doncaster,2,u,VB,Jellis,10/3/2018,12.4,,,,,,Manningham City Council,,,Eastern Metropolitan
32450,Ascot Vale,2,h,S,Nelson,17/2/2018,4.3,2,1,1,219,,Moonee Valley City Council,-37.78153,144.90857,Western Metropolitan
26785,Bentleigh East,4,h,VB,Buxton,11/11/2017,13.8,4,3,2,645,,Glen Eira City Council,-37.9223,145.0758,Southern Metropolitan
2500,Bulleen,4,h,VB,Barry,27/11/2016,11.8,,,,,,Manningham City Council,,,Eastern Metropolitan
29408,Craigieburn,4,h,S,Barry,6/1/2018,20.6,4,2,2,399,,Hume City Council,-37.5924,144.89019,Northern Metropolitan
5745,Keilor East,3,h,PI,Barry,26/7/2016,12.8,3,2,2,928,1970,Brimbank City Council,-37.7362,144.8643,Western Metropolitan
34788,Thornbury,2,h,S,Nelson,24/2/2018,7,2,1,,193,1930,Darebin City Council,-37.75813,145.00362,Northern Metropolitan
10144,Templestowe Lower,4,h,S,Barry,3/12/2016,13.8,4,2,4,673,1972,Manningham City Council,-37.7647,145.1246,Eastern Metropolitan
24395,Footscray,4,h,VB,hockingstuart,14/10/2017,5.1,4,3,4,,,Maribyrnong City Council,-37.79504,144.90366,Western Metropolitan
4748,Glenroy,3,h,S,Nelson,3/12/2016,13,3,1,1,336,,Moreland City Council,-37.7088,144.9356,Northern Metropolitan
2670,Camberwell,2,u,S,Jellis,10/9/2016,7.8,,,,,,Boroondara City Council,,,Southern Metropolitan
6671,Melbourne,2,u,S,Purplebricks,7/11/2016,2.8,2,1,1,0,2004,Melbourne City Council,-37.8106,144.9646,Northern Metropolitan
5984,Kew,5,h,VB,RT,18/3/2017,5.6,,,,,,Boroondara City Council,,,Southern Metropolitan
8949,Richmond,2,u,S,Jellis,27/6/2016,2.6,2,2,1,0,2008,Yarra City Council,-37.822,145.0104,Northern Metropolitan
11840,Albion,4,h,S,Bells,10/9/2016,13.9,4,1,2,837,1930,Brimbank City Council,-37.7825,144.8221,Western Metropolitan
23929,Mount Waverley,2,t,S,McGrath,7/10/2017,14.2,,,,,,Monash City Council,,,Eastern Metropolitan
30909,Williamstown,3,h,S,Greg,9/12/2017,6.8,3,1,2,412,1940,Hobsons Bay City Council,-37.85324,144.89958,Western Metropolitan
31928,Mill Park,2,u,S,HAR,3/3/2018,17.9,,,,,,Whittlesea City Council,,,Northern Metropolitan
25025,Eaglemont,5,h,S,Ray,21/10/2017,8.9,5,2,2,737,,Banyule City Council,-37.75991,145.06414,Eastern Metropolitan
26293,Parkdale,4,h,S,Buxton,28/10/2017,21.5,4,2,1,598,2016,Kingston City Council,-37.99017,145.07854,South-Eastern Metropolitan
6529,Maribyrnong,4,h,S,Brad,4/3/2017,8.7,,,,,,Maribyrnong City Council,,,Western Metropolitan
24749,Templestowe,5,h,SP,Jellis,14/10/2017,15.5,,,,,,Manningham City Council,,,Eastern Metropolitan
27780,Footscray,3,h,VB,Jas,18/11/2017,5.1,3,2,,147,,Maribyrnong City Council,-37.7946,144.8938,Western Metropolitan
6820,Mont Albert,3,t,S,Jellis,27/6/2016,11.8,3,2,2,255,2000,Boroondara City Council,-37.8192,145.111,Eastern Metropolitan
22477,Hawthorn,2,u,S,Nelson,23/9/2017,5.3,2,1,1,,,Boroondara City Council,-37.8293,145.04043,Southern Metropolitan
14018,Eaglemont,5,h,PI,Miles,29/4/2017,10.3,5,3,2,1001,1930,Banyule City Council,-37.7605,145.0593,Eastern Metropolitan
27485,Balwyn,2,h,S,Noel,18/11/2017,7.9,2,1,1,,,Boroondara City Council,-37.8059,145.0645,Southern Metropolitan
34131,Coburg,4,h,S,Barry,24/2/2018,6.7,4,2,0,406,1930,Darebin City Council,-37.74601,144.94799,Northern Metropolitan
2598,Burwood,4,h,SA,Barry,24/9/2016,11.7,4,2,2,499,2005,Monash City Council,-37.8593,145.1101,Southern Metropolitan
10307,Thornbury,2,u,S,Nelson,17/9/2016,6.5,2,1,2,0,,Darebin City Council,-37.7591,145.0208,Northern Metropolitan
12941,Hawthorn,1,u,S,Jellis,6/5/2017,4.6,1,1,1,0,1960,Boroondara City Council,-37.8194,145.0397,Southern Metropolitan
30265,Dandenong North,4,h,S,Barry,9/12/2017,24.7,4,2,3,,1980,Greater Dandenong City Council,-37.96282,145.21024,South-Eastern Metropolitan
8392,Reservoir,2,h,S,Alexkarbon,8/10/2016,11.2,2,1,1,159,1990,Darebin City Council,-37.6998,145.0248,Northern Metropolitan
2416,Brunswick West,2,u,S,Jellis,27/6/2016,5.9,2,1,1,0,1950,Moreland City Council,-37.7543,144.9385,Northern Metropolitan
8801,Richmond,3,h,S,Abercromby's,10/12/2016,2.6,3,1,0,162,1915,Yarra City Council,-37.8241,145.0015,Northern Metropolitan
31823,Heathmont,2,h,S,Barry,3/3/2018,21.3,2,1,,758,1960,Maroondah City Council,-37.82661,145.24449,Eastern Metropolitan
23168,Glenroy,2,u,VB,Nelson,26/8/2017,11.2,,,,,,Moreland City Council,,,Northern Metropolitan
8191,Preston,2,u,S,Nelson,14/5/2016,8.8,2,1,1,117,1965,Darebin City Council,-37.7514,145.0118,Northern Metropolitan
24132,Wyndham Vale,4,h,SP,hockingstuart,7/10/2017,27.2,,,,,,Wyndham City Council,,,Western Metropolitan
27827,Glenroy,4,t,SP,Barry,18/11/2017,11.2,,,,,,Moreland City Council,,,Northern Metropolitan
7676,Pascoe Vale,3,h,SP,Nelson,14/5/2016,9.9,3,2,2,608,1940,Moreland City Council,-37.7182,144.9405,Northern Metropolitan
27776,Flemington,2,h,S,Nelson,18/11/2017,3.4,2,1,1,234,1890,Melbourne City Council,-37.7851,144.9338,Northern Metropolitan
23794,Greensborough,3,h,S,Buckingham,7/10/2017,16.1,3,1,2,594,1962,Banyule City Council,-37.71643,145.09929,Northern Metropolitan
1116,Balwyn North,4,h,S,Jellis,18/3/2017,9.2,4,1,4,1042,,Boroondara City Council,-37.7908,145.101,Southern Metropolitan
31744,Fitzroy,3,h,S,Nelson,3/3/2018,2.1,3,3,1,95,,Yarra City Council,-37.80105,144.97899,Northern Metropolitan
2499,Bulleen,3,t,PI,Fletchers,27/11/2016,11.8,,,,,,Manningham City Council,,,Eastern Metropolitan
2105,Brighton East,2,h,S,Buxton,25/2/2017,10.7,2,2,2,539,,Bayside City Council,-37.9013,145.0072,Southern Metropolitan
3829,Elwood,2,u,S,hockingstuart,4/3/2017,7.7,2,1,1,1966,1960,Port Phillip City Council,-37.8725,144.9848,Southern Metropolitan
4456,Footscray,4,t,VB,Raine,22/8/2016,6.4,4,2,2,0,2015,Maribyrnong City Council,-37.7905,144.8882,Western Metropolitan
20041,Highett,2,u,S,Buxton,3/9/2017,16,2,1,1,,2013,Bayside City Council,-37.9512,145.04171,Southern Metropolitan
21700,Bentleigh East,4,h,S,Jellis,19/8/2017,13.8,4,1,2,581,1960,Glen Eira City Council,-37.91291,145.05996,Southern Metropolitan
6909,Moonee Ponds,1,u,VB,Brad,19/11/2016,6.9,1,1,1,0,1970,Moonee Valley City Council,-37.758,144.9237,Western Metropolitan
34303,Greensborough,4,h,S,Jellis,24/2/2018,16.1,4,2,2,914,1975,Banyule City Council,-37.69672,145.09791,Northern Metropolitan
11407,Hawthorn East,3,h,VB,Jellis,18/6/2016,7.5,3,2,1,213,1890,Boroondara City Council,-37.8302,145.0542,Southern Metropolitan
3120,Caulfield South,3,h,S,Biggin,8/10/2016,9.3,3,1,1,359,,Glen Eira City Council,-37.8898,145.0196,Southern Metropolitan
18487,Dingley Village,4,h,S,Ray,15/7/2017,22.2,4,2,2,676,1975,Kingston City Council,-37.97936,145.13302,South-Eastern Metropolitan
22951,Bentleigh East,3,u,SP,Woodards,26/8/2017,13.8,3,2,2,,,Glen Eira City Council,-37.93199,145.06646,Southern Metropolitan
27,Abbotsford,1,u,S,Biggin,12/11/2016,2.5,,,,,,Yarra City Council,,,Northern Metropolitan
16548,South Yarra,2,u,SP,Rombotis,24/6/2017,2.7,,,,,,Melbourne City Council,,,Southern Metropolitan
14004,Balwyn,3,t,S,Fletchers,22/4/2017,9.7,3,3,1,329,2005,Boroondara City Council,-37.8101,145.0844,Southern Metropolitan
7987,Prahran,3,h,S,Jellis,10/12/2016,4.5,3,3,1,209,,Stonnington City Council,-37.8467,144.9897,Southern Metropolitan
13980,Altona,3,h,S,Greg,29/4/2017,13.8,3,1,2,700,,Hobsons Bay City Council,-37.8707,144.8076,Western Metropolitan
2735,Camberwell,3,t,SP,hockingstuart,18/6/2016,7.8,3,2,2,318,,Boroondara City Council,-37.8447,145.0916,Southern Metropolitan
30338,Essendon West,3,h,S,Harcourts,9/12/2017,7.5,3,1,1,613,,Moonee Valley City Council,-37.74937,144.88899,Western Metropolitan
9351,South Yarra,2,u,S,Beller,25/2/2017,3.3,2,1,1,855,,Melbourne City Council,-37.8336,144.9882,Southern Metropolitan
26973,Doreen,3,h,S,HAR,11/11/2017,25.9,3,2,2,567,2012,Nillumbik Shire Council,-37.5955,145.1137,Northern Victoria
7412,Northcote,2,u,S,Jellis,24/9/2016,5.5,2,1,1,671,,Darebin City Council,-37.7833,145.0135,Northern Metropolitan
25914,Essendon,2,u,SP,Barry,28/10/2017,7.5,2,1,1,,1990,Moonee Valley City Council,-37.7494,144.8971,Western Metropolitan
24859,Balwyn North,3,h,PI,Fletchers,21/10/2017,9.7,3,1,2,1105,,Boroondara City Council,-37.79631,145.09604,Southern Metropolitan
13036,Hughesdale,2,h,S,Woodards,20/5/2017,13,2,1,1,387,1896,Monash City Council,-37.9021,145.0837,Southern Metropolitan
32860,St Albans,4,h,S,Nelson,17/2/2018,14,4,2,2,612,1960,Brimbank City Council,-37.73118,144.8027,Western Metropolitan
18646,Newport,3,h,S,Greg,15/7/2017,6.2,3,1,2,204,,Hobsons Bay City Council,-37.84234,144.86622,Western Metropolitan
16887,Elwood,2,u,S,RT,27/5/2017,7.2,2,1,0,702,1940,Port Phillip City Council,-37.87944,144.99375,Southern Metropolitan
24174,Ashburton,4,h,VB,Marshall,14/10/2017,10.2,,,,,,Boroondara City Council,,,Southern Metropolitan
17184,North Melbourne,3,h,PI,J,27/5/2017,1.8,3,1,1,170,1990,Melbourne City Council,-37.79074,144.94324,Northern Metropolitan
33135,Bundoora,3,h,S,Barry,17/3/2018,12.1,3,2,1,453,,Banyule City Council,-37.6966,145.06949,Northern Metropolitan
25983,Glen Waverley,3,u,PI,Harcourts,28/10/2017,16.7,,,,,,Monash City Council,,,Eastern Metropolitan
10836,Yallambie,3,h,S,Miles,19/11/2016,15,3,1,1,616,1960,Banyule City Council,-37.7306,145.0854,Northern Metropolitan
32439,Airport West,4,t,S,Jellis,17/2/2018,10.4,4,3,2,306,,Moonee Valley City Council,-37.7173,144.88754,Western Metropolitan
2567,Burwood,3,t,S,Noel,17/9/2016,11.7,3,1,2,228,1998,Monash City Council,-37.8521,145.1187,Southern Metropolitan
22676,Ormond,4,h,VB,Woodards,23/9/2017,11.4,4,2,2,590,1940,Glen Eira City Council,-37.90433,145.05163,Southern Metropolitan
5467,Heidelberg West,4,h,S,Miles,17/9/2016,9.4,4,1,1,632,1955,Banyule City Council,-37.7466,145.0428,Eastern Metropolitan
19208,Thomastown,3,h,SA,Harcourts,22/7/2017,15.3,,,,,,Whittlesea City Council,,,Northern Metropolitan
7008,Moorabbin,2,h,S,C21,27/11/2016,14.6,2,1,2,756,1950,Kingston City Council,-37.94,145.0449,Southern Metropolitan
27316,South Melbourne,2,h,PI,Marshall,11/11/2017,1.9,2,1,,287,1900,Port Phillip City Council,-37.835,144.9498,Southern Metropolitan
1558,Bentleigh East,3,t,S,hockingstuart,24/9/2016,13.9,,,,,,Glen Eira City Council,,,Southern Metropolitan
8500,Reservoir,2,u,S,Nelson,16/4/2016,11.2,2,1,1,0,1960,Darebin City Council,-37.7093,145.0084,Northern Metropolitan
16262,Frankston,3,h,S,Ray,24/6/2017,38,,,,,,Frankston City Council,,,South-Eastern Metropolitan
1842,Brighton,3,h,SP,Buxton,15/10/2016,11.2,,,,,,Bayside City Council,,,Southern Metropolitan
13575,Reservoir,2,h,PI,Nelson,20/5/2017,11.2,2,1,1,101,1980,Darebin City Council,-37.7091,145.0259,Northern Metropolitan
18862,Blackburn South,3,h,S,Fletchers,22/7/2017,13.4,3,2,1,232,2014,Whitehorse City Council,-37.83574,145.14866,Eastern Metropolitan
14980,Fawkner,3,h,S,Ray,3/6/2017,13.1,3,1,2,603,1960,Hume City Council,-37.70037,144.97007,Northern Metropolitan
22577,Melton,3,h,S,FN,23/9/2017,31.7,3,1,0,362,1976,Melton City Council,-37.68755,144.56887,Western Victoria
33617,Oak Park,3,u,PI,D'Aprano,17/3/2018,11.2,,,,,,Moreland City Council,,,Northern Metropolitan
33029,Bentleigh,5,h,S,Jellis,17/3/2018,11.4,5,3,3,705,1998,Glen Eira City Council,-37.92247,145.03051,Southern Metropolitan
22379,Delahey,3,h,S,Barry,23/9/2017,18,3,1,1,,2001,Brimbank City Council,-37.71504,144.76982,Western Metropolitan
24938,Bundoora,4,h,S,Ray,21/10/2017,12.1,4,2,2,527,,Banyule City Council,-37.69979,145.0656,Northern Metropolitan
19894,Croydon Hills,3,h,S,Hoskins,3/9/2017,23,3,2,2,899,,Maroondah City Council,-37.78028,145.26581,Eastern Metropolitan
34269,Glen Iris,3,h,VB,hockingstuart,24/2/2018,7.3,3,2,,485,1910,Boroondara City Council,-37.85738,145.04337,Southern Metropolitan
17377,Wantirna,3,t,S,Ray,27/5/2017,14.7,,,,,,Knox City Council,,,Eastern Metropolitan
3964,Essendon,2,u,S,Nelson,4/3/2017,8,2,1,1,0,1980,Moonee Valley City Council,-37.7495,144.9205,Western Metropolitan
21882,Glen Iris,2,h,SP,Biggin,19/8/2017,7.3,2,1,2,,1990,Boroondara City Council,-37.85198,145.05011,Southern Metropolitan
18206,Northcote,2,u,PI,McGrath,12/8/2017,5.3,,,,,,Darebin City Council,,,Northern Metropolitan
18219,Parkdale,3,t,S,Purplebricks,12/8/2017,21.5,,,,,,Kingston City Council,,,South-Eastern Metropolitan
5700,Keilor East,4,h,S,Barry,12/11/2016,12.8,4,2,2,613,2011,Brimbank City Council,-37.7453,144.8721,Western Metropolitan
3940,Elwood,2,u,S,Chisholm,27/11/2016,7.7,2,1,0,0,1930,Port Phillip City Council,-37.8809,144.9947,Southern Metropolitan
33363,Glen Iris,4,h,PI,Marshall,17/3/2018,7.3,4,3,2,334,,Boroondara City Council,-37.84881,145.06128,Southern Metropolitan
2458,Bulleen,4,h,S,Barry,10/9/2016,11.8,4,2,2,730,1971,Manningham City Council,-37.7606,145.0932,Eastern Metropolitan
5856,Kensington,2,h,S,Alexkarbon,28/5/2016,4.2,2,1,1,173,,Melbourne City Council,-37.7959,144.9341,Northern Metropolitan
15132,Mill Park,3,h,SP,Millership,3/6/2017,17.9,3,2,1,991,,Whittlesea City Council,-37.65887,145.06254,Northern Metropolitan
24240,Brighton East,2,t,SP,Hodges,14/10/2017,10.3,,,,,,Bayside City Council,,,Southern Metropolitan
31317,Ringwood North,3,t,S,Fletchers,10/2/2018,19.9,,,,,,Manningham City Council,,,Eastern Metropolitan
19436,Endeavour Hills,5,h,SP,Del,29/7/2017,28.5,5,2,2,836,1992,Casey City Council,-37.98873,145.27019,South-Eastern Metropolitan
21610,West Footscray,4,h,PI,Burnham,16/9/2017,6.4,4,2,1,,1950,Maribyrnong City Council,-37.79068,144.86999,Western Metropolitan
14368,Essendon West,5,h,VB,Nelson,1/7/2017,7.5,5,3,2,607,2016,Moonee Valley City Council,-37.75148,144.88519,Western Metropolitan
17584,Hampton East,2,t,S,McGrath,8/7/2017,13.8,2,1,1,0,1992,Bayside City Council,-37.94083,145.03682,Southern Metropolitan
813,Avondale Heights,4,h,S,Barry,27/11/2016,10.5,4,2,2,570,,Moonee Valley City Council,-37.7513,144.859,Western Metropolitan
33429,Highett,3,h,S,Buxton,17/3/2018,16,3,1,2,670,1950,Bayside City Council,-37.9477,145.03877,Southern Metropolitan
12855,Glen Iris,3,h,S,Marshall,20/5/2017,9.2,3,1,2,453,1930,Boroondara City Council,-37.8487,145.0592,Southern Metropolitan
5050,Hampton,5,h,SP,Marshall,12/11/2016,13.7,5,3,4,670,2008,Bayside City Council,-37.9427,145.0085,Southern Metropolitan
21620,Wheelers Hill,4,h,S,C21,16/9/2017,16.7,4,3,4,653,,Monash City Council,-37.90667,145.17368,South-Eastern Metropolitan
29569,Hampton,3,t,S,Hodges,6/1/2018,13.8,,,,,,Bayside City Council,,,Southern Metropolitan
15154,Mordialloc,1,u,S,Thomson,3/6/2017,21.5,1,1,1,0,1970,Kingston City Council,-38.00508,145.08189,South-Eastern Metropolitan
27661,Coburg,4,h,S,Jellis,18/11/2017,6.7,4,2,2,402,,Darebin City Council,-37.7408,144.95,Northern Metropolitan
1830,Brighton,2,h,VB,Buxton,12/11/2016,11.2,2,2,2,404,,Bayside City Council,-37.9104,145.002,Southern Metropolitan
3114,Caulfield South,2,h,S,Gary,7/5/2016,9.3,2,1,1,0,,Glen Eira City Council,-37.9002,145.027,Southern Metropolitan
5165,Hampton East,2,h,PI,Buxton,27/6/2016,14.5,2,1,2,658,,Bayside City Council,-37.9426,145.03,Southern Metropolitan
19642,Reservoir,2,t,S,hockingstuart,29/7/2017,12,2,1,1,243,2012,Darebin City Council,-37.71045,145.0018,Northern Metropolitan
12461,Bulleen,2,t,S,Barry,6/5/2017,11.8,2,1,2,135,1970,Manningham City Council,-37.7787,145.0918,Eastern Metropolitan
10824,Yallambie,3,h,S,Buckingham,10/12/2016,15,3,2,2,568,1975,Banyule City Council,-37.7216,145.1066,Northern Metropolitan
13510,Preston,2,u,SP,hockingstuart,13/5/2017,8.8,,,,,,Darebin City Council,,,Northern Metropolitan
13278,Murrumbeena,2,u,PI,Fletchers,22/4/2017,12.1,2,1,1,77,1970,Glen Eira City Council,-37.8999,145.0643,Southern Metropolitan
25860,Deer Park,3,h,S,Douglas,28/10/2017,14.8,3,1,2,691,1960,Brimbank City Council,-37.77382,144.77038,Western Metropolitan
25323,Reservoir,4,h,VB,hockingstuart,21/10/2017,12,4,1,1,736,,Darebin City Council,-37.73113,145.02405,Northern Metropolitan
16032,Airport West,3,u,SP,Brad,24/6/2017,10.4,3,2,2,143,2012,Moonee Valley City Council,-37.72967,144.88835,Western Metropolitan
7137,Niddrie,4,t,S,Barry,3/9/2016,11.2,,,,,,Moonee Valley City Council,,,Western Metropolitan
28718,Glenroy,3,t,SP,Brad,25/11/2017,11.2,,,,,,Moreland City Council,,,Northern Metropolitan
34836,Wheelers Hill,5,h,S,LLC,24/2/2018,16.7,5,2,2,739,1980,Monash City Council,-37.89304,145.18475,South-Eastern Metropolitan
20984,Boronia,3,h,S,Fletchers,16/9/2017,25,3,1,1,439,1970,Knox City Council,-37.86205,145.25333,Eastern Metropolitan
10216,Templestowe Lower,3,h,S,Barry,25/2/2017,13.8,,,,,,Manningham City Council,,,Eastern Metropolitan
31071,Balwyn North,2,h,VB,Fletchers,10/2/2018,9.7,2,1,1,923,,Boroondara City Council,-37.80141,145.10299,Southern Metropolitan
21061,Carnegie,2,u,S,Buxton,16/9/2017,10.1,,,,,,Glen Eira City Council,,,Southern Metropolitan
7928,Port Melbourne,2,u,S,Marshall,28/5/2016,3.8,2,1,2,0,1997,Melbourne City Council,-37.8426,144.9398,Southern Metropolitan
14992,Footscray,2,u,PI,Burnham,3/6/2017,5.1,2,1,1,0,,Maribyrnong City Council,-37.78895,144.89014,Western Metropolitan
26040,Heathmont,3,h,S,Fletchers,28/10/2017,21.3,3,1,1,,,Maroondah City Council,-37.81925,145.24178,Eastern Metropolitan
24230,Boronia,4,h,S,iTRAK,14/10/2017,25,4,2,4,,1973,Knox City Council,-37.84634,145.28828,Eastern Metropolitan
31062,Ascot Vale,3,t,S,Nelson,10/2/2018,4.3,3,2,2,184,,Moonee Valley City Council,-37.7775,144.90708,Western Metropolitan
11591,Kingsville,3,h,S,Jas,19/11/2016,7.8,3,2,0,272,1915,Maribyrnong City Council,-37.8079,144.8825,Western Metropolitan
11688,Ormond,3,u,S,hockingstuart,6/8/2016,11.8,3,1,1,265,1990,Glen Eira City Council,-37.906,145.04,Southern Metropolitan
18146,Lower Plenty,2,u,VB,Fletchers,12/8/2017,14.6,2,1,1,119,,Banyule City Council,-37.72861,145.109,Eastern Metropolitan
4903,Glenroy,3,h,S,Barry,28/8/2016,13,3,1,2,657,1950,Moreland City Council,-37.7019,144.9225,Northern Metropolitan
18575,Keilor Downs,4,h,PI,Brad,15/7/2017,15.5,4,2,3,815,2000,Brimbank City Council,-37.71757,144.81328,Western Metropolitan
8922,Richmond,3,h,S,hockingstuart,23/4/2016,2.6,3,2,1,312,1920,Yarra City Council,-37.8217,145.007,Northern Metropolitan
27045,Glenroy,4,h,S,Eview,11/11/2017,11.2,,,,,,Moreland City Council,,,Northern Metropolitan
18096,Heidelberg Heights,2,h,PI,Barry,12/8/2017,8.8,2,1,0,683,,Banyule City Council,-37.75022,145.04778,Eastern Metropolitan
10351,Thornbury,3,h,SP,McGrath,25/2/2017,6.5,3,2,2,349,,Darebin City Council,-37.7584,145.0115,Northern Metropolitan
18856,Bentleigh,5,h,PI,hockingstuart,22/7/2017,11.4,5,2,2,591,1950,Glen Eira City Council,-37.92211,145.0466,Southern Metropolitan
26731,Albion,2,t,SP,Jas,11/11/2017,10.5,,,,,,Brimbank City Council,,,Western Metropolitan
19504,Highett,4,t,S,hockingstuart,29/7/2017,16,4,2,2,304,2007,Bayside City Council,-37.94633,145.04947,Southern Metropolitan
7307,Northcote,3,h,S,Nelson,10/9/2016,5.5,3,2,1,259,1910,Darebin City Council,-37.7687,144.9922,Northern Metropolitan
12089,Aberfeldie,4,h,S,Nelson,6/5/2017,9.1,4,2,2,273,,Moonee Valley City Council,-37.7574,144.8959,Western Metropolitan
12391,Brunswick,3,h,S,Nelson,8/4/2017,5.2,3,1,1,318,1927,Moreland City Council,-37.7648,144.9633,Northern Metropolitan
34652,Reservoir,3,h,S,HAR,24/2/2018,12,3,1,2,892,,Darebin City Council,-37.70353,145.02653,Northern Metropolitan
24799,Wheelers Hill,4,h,S,Barry,14/10/2017,16.7,4,2,2,732,1980,Monash City Council,-37.8943,145.18588,South-Eastern Metropolitan
1350,Bentleigh,4,h,S,Woodards,28/8/2016,13,,,,,,Glen Eira City Council,,,Southern Metropolitan
28921,Mulgrave,4,h,S,Leaders,25/11/2017,18.8,4,2,2,,,Monash City Council,-37.9237,145.1918,South-Eastern Metropolitan
15587,East Melbourne,3,h,PI,Jellis,17/6/2017,1.3,3,1,0,118,1890,Melbourne City Council,-37.81351,144.98804,Northern Metropolitan
11823,West Footscray,3,h,S,Biggin,26/7/2016,8.2,3,1,2,501,1960,Maribyrnong City Council,-37.7912,144.868,Western Metropolitan
21844,Elsternwick,3,h,S,Biggin,19/8/2017,7.2,3,2,1,346,1890,Glen Eira City Council,-37.88319,145.01142,Southern Metropolitan
11830,West Footscray,2,u,S,Sweeney,28/5/2016,8.2,2,1,1,0,1975,Maribyrnong City Council,-37.7966,144.8716,Western Metropolitan
7449,Northcote,4,h,S,Nelson,30/7/2016,5.5,4,1,1,382,1970,Darebin City Council,-37.7784,144.9959,Northern Metropolitan
7306,Northcote,4,h,S,Nelson,8/10/2016,5.5,2,1,1,314,,Darebin City Council,-37.763,144.9978,Northern Metropolitan
18514,Fitzroy,1,u,S,hockingstuart,15/7/2017,2.1,1,1,1,0,2013,Yarra City Council,-37.80348,144.98257,Northern Metropolitan
3365,Coburg,2,u,SP,Raine,18/6/2016,7.8,2,2,1,0,,Darebin City Council,-37.7379,144.9683,Northern Metropolitan
31036,St Albans,3,h,S,hockingstuart,3/2/2018,14,3,1,2,,,Brimbank City Council,-37.75732,144.80542,Western Metropolitan
1915,Brighton,2,u,PI,Buxton,27/11/2016,11.2,2,1,1,0,,Bayside City Council,-37.9116,144.9978,Southern Metropolitan
12764,Fawkner,3,h,S,Brad,20/5/2017,12.4,3,1,2,585,,Hume City Council,-37.6937,144.9658,Northern Metropolitan
30101,Blackburn North,3,h,S,Fletchers,9/12/2017,13.4,3,2,1,568,1968,Whitehorse City Council,-37.80265,145.16099,Eastern Metropolitan
23977,Parkdale,3,h,S,Buxton,7/10/2017,21.5,3,2,2,301,1950,Kingston City Council,-37.98639,145.07367,South-Eastern Metropolitan
10041,Surrey Hills,4,h,S,Marshall,7/11/2016,11.2,4,2,2,779,2014,Boroondara City Council,-37.8185,145.0878,Southern Metropolitan
28347,Aspendale,4,h,PI,O'Brien,25/11/2017,21.5,,,,,,Kingston City Council,,,South-Eastern Metropolitan
3976,Essendon,2,t,VB,Brad,6/8/2016,8,,,,,,Moonee Valley City Council,,,Western Metropolitan
27142,Meadow Heights,3,h,SP,Barry,11/11/2017,17.4,3,1,1,596,,Hume City Council,-37.6548,144.9116,Northern Metropolitan
5388,Heidelberg Heights,3,t,VB,Miles,10/12/2016,10.5,3,2,2,215,2005,Banyule City Council,-37.7424,145.0519,Eastern Metropolitan
29240,Ashwood,3,h,S,Ray,6/1/2018,10.2,3,1,2,646,,Monash City Council,-37.86971,145.11068,Southern Metropolitan
20692,Mitcham,4,h,VB,Fletchers,9/9/2017,17.2,4,3,2,367,2015,Whitehorse City Council,-37.81338,145.18551,Eastern Metropolitan
11048,Brunswick East,3,h,PI,Nelson,4/3/2017,4.5,3,2,2,138,,Moreland City Council,-37.7658,144.9823,Northern Metropolitan
5575,Ivanhoe,3,h,S,Jellis,13/8/2016,7.9,,,,,,Banyule City Council,,,Eastern Metropolitan
29632,Kew East,3,h,S,Jellis,6/1/2018,7.3,,,,,,Boroondara City Council,,,Southern Metropolitan
27683,Craigieburn,4,h,PI,Ray,18/11/2017,20.6,4,2,2,398,,Hume City Council,-37.6021,144.9027,Northern Metropolitan
26178,Mentone,3,h,S,hockingstuart,28/10/2017,20,3,1,2,771,,Kingston City Council,-37.98224,145.08442,South-Eastern Metropolitan
19644,Richmond,3,h,S,Jellis,29/7/2017,2.4,3,1,1,209,1920,Yarra City Council,-37.81179,145.00351,Northern Metropolitan
